,,X..Torque,Avg.Load.Factor,Blowby.Pressure,Coolant.Temp,EGT.RB2,Engine.Speed,IMT.LBF,IMT.LBM,IMT.LBR,IMT.RBF,IMT.RBM,IMT.RBR,Incline,Lube.Oil.Pressure,Post.Lube.Oil.Filter.Pressure,Pre.Lube.Oil.Filter.Pressure,Truck.Speed,
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',35,36,0.200000003,80,316.656189,1559.375,48,51,48,48,47,48,5,6.5,852,972,6,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',0,0,0,80,256.375,801,46,47,45,46,47,48,5.349999905,11,480,484,6,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',0,45,0.100000001,80,403,1375.5,48,48,47,48,54,48,3.180000067,18,852,784,6,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',33,34,0.100000001,80,342.218811,1187.125,49,51,49,50,47,48,3.789999962,20,840,676,6,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',22,33,0.050000001,79,330.6875,1161.875,43,39,41,41,47,48,4.320000172,24.5,760,760,6,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',24,25,0.150000006,79,370.406189,1531.375,47,47,46,47,47,48,3.950000048,9,924,880,7,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',0,0,0.150000006,80,403,1453.875,54,54,52,54,47,48,4.849999905,33.5,900,856,7,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',9,12,0.25,82,391.3125,1375,48,48,48,48,47,49,7.150000095,35,1000,1000,8,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',35,36,0,80,359.968811,1662.25,52,54,52,52,47,48,4.880000114,24.5,920,908,9,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',9,52,0.150000006,81,352.625,1371.625,48,50,47,50,46,47,3.789999962,1,840,876,9,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',12,11,0.050000001,78,403,1449.5,48,48,47,48,47,48,4.710000038,18,852,936,10,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',4,0,0.150000006,80,381.75,1282.375,50,50,50,51,54,49,2.670000076,29,852,868,10,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',12,0,0.050000001,80,224.9687958,1172.625,45,46,43,45,47,48,5.78000021,18,852,768,10,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',0,0,0.150000006,80,414.4375,1311.25,52,53,51,48,47,48,3.539999962,0,792,856,11,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',25,38,0,80,354,1327.25,50,51,50,51,47,48,3.789999962,0,892,692,11,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',67,72,0.449999988,78,351.656189,1728.125,43,39,41,41,47,48,6.920000076,15.5,956,880,11,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',42,43,0.1,80,513.3125,1712.25,51,51,50,51,47,48,6.349999905,27,996,1000,12,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',40,56,0.050000001,80,290.125,1170.875,47,49,48,49,47,48,4.739999771,27,680,760,12,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',31,37,0.300000012,79,327.218811,1607.125,50,51,49,50,47,48,4.5,9,912,884,12,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',48,38,0.850000024,79,453.3125,1770.5,46,47,45,45,47,48,7.849999905,20,1000,1000,14,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',58,67,0.1,80,403,1801.625,48,51,49,50,47,48,6.880000114,13.5,1000,880,14,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',42,43,0.1,80,514.4375,1764.25,52,52,51,51,47,48,7.630000114,18,1000,1000,15,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',25,25,0.349999994,80,374.968811,1626.5,30,29,27,28,47,48,7.909999847,18,852,988,16,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',0,0,0.150000006,80,429.4375,1261,55,56,54,55,47,48,3.049999952,0,808,820,18,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',0,47,0,80,470.531189,1472.5,50,50,49,50,47,48,3.650000095,6.5,912,824,18,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',0,0,0,80,443.3125,1112,43,44,41,42,47,48,3.950000048,20,668,664,19,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',27,32,0.100000001,80,434.968811,1758.5,46,46,44,46,47,48,5.170000076,24.5,1000,1000,19,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',0,0,0.050000001,80,435.875,1328.625,54,55,54,55,52,54,5.119999886,15,844,884,19,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',55,57,0.150000006,80,484.4375,1717.75,45,46,42,43,47,48,4.550000191,22.5,960,984,21,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',40,0,0.699999988,79,423.5625,1835.625,47,48,47,48,46,46,5.730000019,30,1000,1000,22,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',61,57,0.1,80,483.3125,1820.75,46,46,45,45,47,48,4.570000172,27,1000,1000,22,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',5,1,0.050000001,80,407.218811,1171.5,50,51,47,50,47,48,3.539999962,13.5,768,772,22,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',55,62,0.1,80,403,1664.375,48,48,47,48,47,48,4.860000134,18,852,980,24,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',80,85,0.349999994,80,438.593811,1808.625,52,52,52,52,47,48,6.539999962,29,1000,1000,25,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',0,0,0.349999994,80,427.218811,1100.875,45,46,43,44,47,48,3.75999999,13.5,676,688,26,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',0,0,0,81,466.5,1423.875,50,49,49,51,48,50,2.349999905,36,1000,884,26,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',88,90,0.1,79,537.218811,1901.375,63,62,60,61,47,48,7.369999886,18,1000,1000,26,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',13,29,0.5,80,452.218811,1838.625,52,53,50,50,47,48,4.449999809,24.5,1000,1000,27,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',38,41,0.699999988,80,497.218811,1550,50,50,49,50,47,48,4.46999979,20,1000,936,28,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',75,79,0.200000003,81,428,1792.625,48,49,46,50,46,46,6.46999979,18,876,1000,28,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',69,51,0.400000006,80,403,1835.25,48,48,47,48,47,48,4.909999847,18,940,880,29,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',80,93,0.699999988,79,499.4375,1781.5,49,49,48,48,47,48,7.519999981,24.5,1000,1000,30,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',94,7,0.1,80,484.4375,1769.625,49,49,49,48,47,48,4.679999828,24.5,1000,1000,30,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',94,100,0.1,81,540.75,1878,55,53,54,56,53,55,4.039999962,31,1000,1000,31,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',92,100,0.1,78,525,1895.625,57,57,53,54,60,52,7.800000191,31,1000,1000,31,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',51,88,0.1,80,517.8125,1867.75,48,54,51,55,51,50,5.519999981,18,1000,1000,31,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',93,100,0.1,79,497.218811,1902.75,48,48,46,47,47,48,6.590000153,22.5,1000,1000,31,);
